"","Child","PictureIdx","PicType","PicClass","image_url","age","MeanCOLORING"
"67","P45","image-5","type-I","class-M","P45_image-5_type-I_class-M.JPG",36,77.6
"68","P59","image-4","type-S","class-M","P59_image-4_type-S_class-M.JPG",49,77.4
"69","P85","image-2","type-I","class-C","P85_image-2_type-I_class-C.JPG",80,77.3333333333333
"70","P89","image-3","type-O","class-H","P89_image-3_type-O_class-H.JPG",63,76.2857142857143
"71","P74","image-4","type-S","class-H","P74_image-4_type-S_class-H.JPG",63,75.8
"72","P74","image-2","type-S","class-M","P74_image-2_type-S_class-M.JPG",63,75
"73","P35","image-5","type-S","class-F","P35_image-5_type-S_class-F.JPG",61,74.6
"74","P64","image-4","type-I","class-C","P64_image-4_type-I_class-C.JPG",48,74.5714285714286
"75","P73","image-3","type-I","class-C","P73_image-3_type-I_class-C.JPG",76,74.4
"76","P35","image-4","type-O","class-H","P35_image-4_type-O_class-H.JPG",61,74.2
"77","P55","image-1","type-O","class-C","P55_image-1_type-O_class-C.JPG",49,74.2
"78","P76","image-5","type-O","class-F","P76_image-5_type-O_class-F.JPG",35,73.7142857142857
"79","P36","image-3","type-I","class-C","P36_image-3_type-I_class-C.JPG",52,73
"80","P76","image-2","type-I","class-C","P76_image-2_type-I_class-C.JPG",35,72.8333333333333
"81","P93","image-4","type-S","class-F","P93_image-4_type-S_class-F.JPG",55,72.8333333333333
"82","P76","image-1","type-O","class-H","P76_image-1_type-O_class-H.JPG",35,72.2857142857143
"83","P68","image-2","type-S","class-C","P68_image-2_type-S_class-C.JPG",70,72.1666666666667
"84","P42","image-2","type-I","class-C","P42_image-2_type-I_class-C.JPG",51,72
"85","P17","image-3","type-I","class-H","P17_image-3_type-I_class-H.JPG",67,71.8
"86","P53","image-4","type-O","class-F","P53_image-4_type-O_class-F.JPG",35,71.8
"87","P59","image-6","type-S","class-C","P59_image-6_type-S_class-C.JPG",49,71.6666666666667
"88","P27","image-3","type-S","class-C","P27_image-3_type-S_class-C.JPG",55,71.5
"89","P26","image-5","type-O","class-F","P26_image-5_type-O_class-F.JPG",56,71.1666666666667
"90","P76","image-3","type-I","class-M","P76_image-3_type-I_class-M.JPG",35,70.75
"91","P26","image-4","type-I","class-M","P26_image-4_type-I_class-M.JPG",56,70.6
"92","P45","image-2","type-I","class-C","P45_image-2_type-I_class-C.JPG",36,70.4
"93","P24","image-6","type-O","class-M","P24_image-6_type-O_class-M.JPG",65,70.2
